Название	Описание	Цена	Вес	Состав	Время приготовления	Картинка
Драники со сметаной	Универсальное блюдо, на завтрак, ужин, обед, которое придётся по вкусу всем.	279	180	Картофель, лук репчатый, яйцо, мука пшеничная, соль, перец чёрный молотый, масло растительное, сметана	30	photo.jpg
Домашнее жаркое по-украински	Аромат поджаренного на настоящем огне окорока не оставит никого равнодушным.	589	300	Свинина, картофель, морковь, лук-порей, масло растительное, соль, перец черный горошком, лавровый лист, зелень петрушки, чеснок.	55	maxresdefaul.jpg
Сибирские пельмени Black Angus	Тарелка сочных сибирских пельменей наполнит теплом даже в условиях полного отсутвия донатов.	727	292	Мука пшеничная в/с, вода питьевая, порошок яичный, соль поваренная пищевая, масло подсолнечное, говядина, вода питьевая, лук сушеный, черный перец, лавровый лист, кориандр.	30	post_5d4717d1bee89.jpg
Гренки с солью и чесночным соусом	Хрустящие гренки с солью - отличная закуска к любому блюду и напитку, а чесночный соус добавит пикантности их вкусу.	269	180	Гренки: хлеб ржаной (мука ржаная хлебопекарная обдирная, вода питьевая, соль поваренная пищевая), масло растительное, чеснок, соль. Чесночный соус: сметана, майонез, чеснок, лук зелёный, укроп.	15	1616105252_27-p-grenki-krasivaya-yeda-28.jpg
Макароны по-домашнему	Самые дешёвые макароны из близжайшего магазина, поданные с малюсенькой котлетой, напомнят своей атмосферой домашнего уюта о панельных домах и скудных бюджетах семей.	230	200	Макароны: мука из твёрдой пшеницы, вода питьевая. Котлета: говядина, лук репчатый, хлеб из пшеничной муки, яйцо, лук, перец чёрный, сухари панировочные.	35	m9h1EJg_8xQ.jpg
Вареники с воблой	Горячая закуска к пенному разогреет даже самую трезвую дискуссию.	777	333	Мука, масло подсолнечное, соль, филе воблы, лук репчатый, чеснок, сахар, перец черный молотый.	50	10-9.jpg
Борщ русский	Традиционный суп, за века своего существования ставший важной частью русской культуры и быта.	320	300	Говядина, свёкла, картофель, капуста белокочанная, морковь, лук репчатый, томатная паста, масло растительное, уксус, лавровый лист, перец чёрный горошком, соль, укроп, сметана.	50	IMG_2578-1024x682ёё.jpg
Гороховый суп	Тарелка этого знакомого и любимого супа заменит любой парфюм!	280	300	Горох сушеный, крупа овсяная, картофель, лук репчатый, морковь, соль, перец, масло растительное.	40	Split-Pea-Soup_18486.jpg
Борщ украинский	Традиционный суп, за века своего существования ставший важной частью украинской культуры и быта.	1296	300	Говядина, свёкла, капуста белокочанная, картофель, морковь, лук репчатый, чеснок, томатная паста, уксус, масло растительное, лавровый лист, соль, перец чёрный молотый, укроп, сметана.	55	IMG_2578-1024x682ё.jpg
Чипсы «Бульба» Деревенские копчёности»	Гомельские трактористы гордятся этими чипсами, ведь именно они усмиряют волю к протестам.	525	300	Картофель свежий, масло подсолнечное рафинированное дезодорированное, ароматизатор «Деревенские копчёности» (сахара, соль, усилитель вкуса и аромата (глутамат натрия 1-замещённый), вкусоароматические вещества, мальтодекстрин, краситель (экстракт паприки), антикомкователь (диоксид кремния), коптильный ароматизатор).	25	2685040.jpg
"Мороженое ""Лакомка"""	Свежее мороженое, известное своим качеством, даёт в свободную минуту забыть о хлопотах и насладиться столь знакомым и приятным вкусом.	150	90	"Молоко коровье цельное, масло сливочное, молоко цельное сгущенное с сахаром, сахар, вода, сыворотка молочная сухая, масло кокосовое, какао-порошок, эмульгатор лецитин, сухой глюкозный сироп, молоко цельное сухое, стабилизатор-эмульгатор (моно- и диглицериды жирных кислот, гуаровпя камедь, камедь плодов рожкового дерева, карбоксиметилцеллюлоза), идентичный натуральному ароматизатор ""Ваниль""."	35	мороженое-lakomka-мороженого-в-расп-ав-енном-шоко-а-е-на-бе-ой-п-ите-на-94940767.jpg
Ватрушка с творогом	Любимый десерт отлично подходит к горячим напиткам, балансируя с ними и дополняя их вкус.	69	80	Мука пшеничная в/с, вода питьевая, дрожжи прессованные хлебопекарные, соль поваренная пищевая, сахар-песок, маргарин столовый, яичный порошок, творог.	45	vatrushki_s_tvorogom_iz_drozhzhevogo_testa.jpg.crop_display.jpg
Халва	Не одному студенту эта восточная сладость спасала жизнь благодаря дешевизне и калорийности.	50	180	"Ядро подсолнечника протёртое, патока крахмальная, сахар-песок, пенообразователь: экстракт солодкового корня, ароматизатор ""Ванилин""."	15	59713685.jpeg
Кумыс	Тайный эликсир кодинга, применяющийся веками в Казахстане и воссозданный по тайному рецепту в ближайшем подвале.	271	300	Молоко кобылье цельное, закваска - молочные дрожжи, ацодофильная и боргарская палочки.	15	22-3.jpg
Вода	Произведена с применением современных систем водоочистки.	60	618	Вода питьевая.	1	full60584b4f4bf49.jpg
"Пиво ""Клинское"""	Пойло, получившее за десятилетия доверие всех бомжей СШК благодаря той силе, которое оно дарует.	42	445	Вода питьевая, ячменный солод, кукурузная крупа, хмель.	10	1353_SOL_6687-4-501x350@2x.jpg
